Tarih,PM10,SO2,CO,NO2,NOX,NO,O3
03/29/2020 21:00:56,,9.37881,1192.49,51.93534,66.0169,9.13802,
03/29/2020 20:00:56,,9.66974,987.21,39.348,48.06258,5.65639,
03/29/2020 19:00:56,,9.80146,939.3799,36.67662,49.43285,8.03047,
03/29/2020 18:00:56,,9.47416,921.3401,34.05208,46.46033,8.34638,
03/29/2020 17:00:56,,9.4542,873.78,19.55466,25.19793,3.67262,
03/29/2020 16:00:56,,9.24709,926.26,20.06389,25.92067,3.82393,
03/29/2020 15:00:56,,9.55488,817.75,8.33887,10.53193,1.29792,
03/29/2020 14:00:56,,9.31539,794.79,9.03579,12.54399,2.23358,
03/29/2020 13:00:56,,10.28133,792.87,10.15304,13.48661,2.11907,
03/29/2020 12:00:56,30.83491,11.66993,843.99,18.51885,27.59271,5.8715,
03/29/2020 11:00:56,21.76086,11.26279,871.05,26.52365,43.96676,11.39987,
03/29/2020 10:00:56,20.84534,11.35327,875.1499,21.04756,24.0109,1.92849,
03/29/2020 09:00:56,22.78,11.77947,834.42,18.99718,24.11669,3.44837,
03/29/2020 08:00:56,34.98932,11.8593,801.62,10.95122,12.29257,0.87498,
03/29/2020 07:00:56,45.68776,11.36524,819.9301,11.4908,12.05771,0.37265,
03/29/2020 06:00:56,40.72932,11.51692,792.87,11.02284,11.82476,0.51938,
03/29/2020 05:00:56,43.99328,11.30626,804.35,17.41832,20.77101,2.18973,
03/29/2020 04:00:56,42.11814,11.58832,813.65,12.81234,14.04205,0.79517,
03/29/2020 03:00:56,45.25793,11.24417,809.8199,20.22248,24.22122,2.59231,
03/29/2020 02:00:56,55.0278,11.4566,803.8101,16.75804,18.18981,0.91447,
03/29/2020 01:00:56,50.48102,11.36569,836.88,26.76078,33.78589,4.58286,
03/29/2020 00:00:56,45.46797,10.86764,843.99,24.13921,28.26019,2.78379,
03/28/2020 23:00:56,56.89949,11.21445,878.79,20.39132,22.66835,1.45566,
03/28/2020 22:00:56,73.3261,12.87418,920.23,29.69984,33.43578,2.35538,
03/28/2020 21:00:56,79.09254,11.74829,907.3999,38.53523,45.53938,4.59852,
03/28/2020 20:00:56,88.85051,11.7267,904.9399,31.73175,38.72915,4.60517,
03/28/2020 19:00:56,105.08424,12.6545,932,37.40617,51.33051,9.09354,
03/28/2020 18:00:56,95.08966,13.64794,784.4,39.00772,71.40906,21.45526,
03/28/2020 17:00:56,89.01068,10.88493,729.46,31.6167,50.08835,12.28087,
03/28/2020 16:00:56,76.59644,11.2007,735.75,11.11423,15.44609,2.86893,
03/28/2020 15:00:56,86.65424,10.62682,721.8101,5.33902,6.53075,0.73053,
03/28/2020 14:00:56,97.42017,10.11236,713.0601,7.41921,10.10046,1.74102,
03/28/2020 13:00:56,100.33475,8.765,693.65,7.12236,9.28754,1.25482,
03/28/2020 12:00:56,77.02627,10.19085,713.0601,14.53833,22.41693,4.92755,
03/28/2020 11:00:56,95.24559,9.98507,760.89,26.48444,43.11018,10.8144,
03/28/2020 10:00:56,115.83322,10.27867,702.67,21.40111,25.20908,2.37013,
03/28/2020 09:00:56,125.47898,10.49155,718.8,12.13439,13.76927,1.66529,
03/28/2020 08:00:56,114.01,10.41438,710.05,8.40405,10.43538,3.25324,
